_question,_answer,Tags
Amazon Lex とは何ですか?,Amazon Lex は、音声やテキストを使用した会話型インターフェイスを構築するためのサービスです。Amazon Lex では、Alexa と同じ会話エンジンを活用して高性能の音声認識および言語理解の機能が備わっているため、新規アプリケーションや既存のアプリケーションに、洗練された自然な言語「チャットボット」を追加できます。Amazon Lex を使用すると、マルチプラットフォームの開発に要する労力が削減され、モバイルデバイスや複数のチャットサービス (Facebook Messenger、Slack、Kik、Twilio SMS など) に音声またはテキストのチャットボットを簡単にパブリッシュできます。AWS Lambda および Amazon CloudWatch とのネイティブな相互運用に加えて、Amazon Cognito および Amazon DynamoDB などの AWS プラットフォーム上のその他多くのサービスとの簡単な統合により、手間を掛けずにボットを開発できます。,Lex
Amazon Lex の使用を開始するにはどうすればよいですか?,Amazon Lex は、AWS マネジメントコンソールにサインインして、"Artificial Intelligence" (AI) カテゴリの "Lex" に移動するだけで使用を開始できます。Amazon Lex の使用を開始するには、アマゾン ウェブ サービスのアカウントが必要です。まだお持ちでない場合は、サインアッププロセス中に画面の指示に従って作成してください。詳細については、Amazon Lex V2 入門ガイドを参照してください。,Lex
Amazon Lex の最も一般的なユースケースは何ですか?,一般的なユースケースには次のようなものがあります。セルフサービスの音声アシスタントとチャットボット – コールセンターボットを構築する。情報ボット – 質問に回答する自動化されたカスタマーサポートエージェントまたはボットを構築する。アプリケーション/トランザクション用ボット – スタンドアロンのピザ注文エージェントまたは旅行ボットを構築する。企業の生産性ボット – 企業のデータリソースに接続するカスタムボットを構築する。デバイス制御ボット – コネクテッドデバイスに、Amazon Lex を使って制御コマンドを発行する。,Lex
Amazon Lex は AWS の他のサービスとどのように連携しますか?,Amazon Lex は、インテントフルフィルメントに AWS Lambda、ユーザー認証に Amazon Cognito、およびテキスト読み上げに Amazon Polly を活用します。,Lex
Amazon Lex を使用するために機械学習の専門知識が必要ですか?,Amazon Lex を使用するために機械学習の専門知識は必要ありません。デベロッパーは会話の流れを宣言により指定でき、音声認識および自然言語理解の機能は Amazon Lex によって実行されます。デベロッパーは、対応するプロンプトで、簡単な英語での複数のサンプル発話やユーザーから収集する各種のパラメータ (スロット) を設定します。言語モデルは自動的に作成されます。,Lex
Amazon Lex はどの AWS リージョンで利用できますか?,サポートされる Amazon Lex AWS リージョンのリストについては、すべての AWS グローバルインフラストラクチャの AWS [リージョン表](https://aws.amazon.com/jp/about-aws/global-infrastructure/regions_az/)をご参照ください。詳細については、AWS の全般的なリファレンスで[リージョンとエンドポイント](https://docs.aws.amazon.com/general/latest/gr/rande.html)も参照してください。,Lex
Amazon Lex でサポートされている最大の帯域幅はどのくらいですか?,Amazon Lex はお客様のニーズに合わせてスケールされるため、帯域幅に制限はありません。,Lex
Amazon Lex はマネージド型サービスですか?,Amazon Lex は完全なマネージド型サービスです。したがって、リソースのスケーリングやコードのメンテナンスの管理は不要です。対話スキーマや言語モデルは自動的にバックアップされます。また、包括的なバージョニング機能が利用できるため、ロールバックも簡単です。Amazon Lex のアーキテクチャでは、エンドユーザーデータの保管やバックアップは不要です。,Lex
Amazon Polly と Amazon Lex はどのように使い分ければよいですか?,Amazon Polly ではテキスト入力が音声に変換されます。Amazon Lex は、音声やテキストを使用した会話型インターフェイスを構築するためのサービスです。,Lex
Amazon Lex は今後さらにインテリジェントになりますか?,はい。Amazon Lex では深層学習が使用されるため、今後さらに改良されていきます。,Lex
Amazon Lex ではどのようにボットを作成するのですか?,ボットを作成するためには、まず、そのボットで実行するアクションを定義します。アクションは、ボットが実現する必要のあるインテントです。各インテントに対して、サンプル発話とスロットを追加します。発話は、インテントを呼び出すフレーズです。スロットは、インテントを実現するために必要な入力データです。最後に、アクションの実行に必要なビジネスロジックを設定します。Amazon Lex ボットは、コンソールおよび REST API の両方から作成できます。,Lex
ビジネスロジックはクライアントで実装できますか?,はい。Amazon Lex には、解析済みのインテントとスロットをクライアントに戻してビジネスロジックを実装するオプションがあります。,Lex
ユーザー入力をどのような方法で検証できますか?,Amazon Lex は AWS Lambda と密接に統合されているため、初期化および検証の codeHook を使用してユーザー入力を検証できます。このコードは、会話の 1 ターンごとに実行されます。codehook を使用すると、セッションパラメータの設定、ユーザー入力の検証、および応答のカスタマイズを実行できます。,Lex
インテントとは何ですか?,Amazon Lex ボットを構築するには、ボットに実現させるアクションのセット (インテント) を特定する必要があります。ボットには複数のインテントを設定できます。例えば、"チケット予約" ボットには、予約、予約キャンセル、および予約確認のインテントを設定できます。,Lex
発話とは何ですか?,発話 は、インテントを呼び出す音声またはテキストのフレーズです。例えば、予約のインテントを呼び出すために、「予約できますか?」などのサンプル発話を入力します。,Lex
スロットとは何ですか?,インテントを実現するためには、Amazon Lex ボットにはユーザーからの情報が必要です。この情報は "スロット" に取得されます。例えば、予約のインテントに対してはショーの名前と時間を定義します。,Lex
プロンプトとは何ですか?,Amazon Lex では、設定された "プロンプト" を使用して定義された "スロット" を引き出します。例えば、"時間" というスロットの値を引き出すために、「何時のショーを予約したいですか?」のようなプロンプトを定義します。Amazon Lex では、マルチターン会話機能によって複数のスロット値を引き出すことができます。,Lex
アクションはどのように実行されますか?,Amazon Lex では、AWS Lambda との統合によって、アクションまたはビジネスロジックを "実行" します。また、解析済みのインテントとスロット値をクライアントに戻してアクションを実行するように Amazon Lex を設定できます。,Lex
ボットのモニタリングと追跡はどのようにすればよいですか?,Amazon Lex コンソールの "モニタリング" ダッシュボードでボットのメトリクスを追跡できます。現時点で追跡できるのは、失敗した発話数、リクエストのレイテンシー、およびボットのチャネル別トラフィックです。ボットによって認識されなかった発話、いわゆる "失敗した発話" のリストを表示できます。これらの監視機能により、ユーザーのボットとの対話を確認し、徐々に改善を図ることができます。,Lex
自動チャットボットデザイナーを使用するにはどうすればよいですか?,自動チャットボットデザイナーは、数回のクリックだけでボットの設計を作成します。最初に、Lex Console (または SDK) を介して、会話のトランスクリプトを含め、S3 がある位置へのリンクを提供します。自動チャットボットデザイナーはこれらのトランスクリプトを処理して、ユーザーインテント、インテントに関連付けられた例文、およびそれらの実行に必要なすべての情報リストを含むチャットボットデザインを表示します。次に、自動チャットボットデザイナーが提供した結果を確認し、ボットに最適なインテントとスロットタイプを追加できます。,Lex
自動チャットボットデザイナーはどのトランスクリプト形式をサポートしていますか?,トランスクリプトには、標準化された JSON 形式の発信者とエージェント間の会話を含めなければなりません。この形式のサンプルトランスクリプトは、Amazon Lex のドキュメントにあります。Contact Lens を使用している Amazon Connect のお客様は、元の形式の会話トランスクリプトを直接使用できます。他の文字起こしサービスからの会話トランスクリプトについては、簡単な変換が必要となる場合があります。変換プロセスの詳細については、こちらをご覧ください。,Lex
自動チャットボットデザイナーがサポートしている言語はどれですか?,Amazon Lex でサポートされているすべての英語ロケール (米国、英国、オーストラリア、インド、サウジアラビア) は、自動チャットボットデザイナーによってサポートされています。自動チャットボットデザイナーは、プレビューで米国英語をサポートしています。,Lex
